PDB	CHAIN	ORGANISM	PROCESS	FUNCTION	UNIPROT	NAME
4z0r	C	Homo sapiens	NA	8270	Q504Y3	Zinc finger CW-type PWWP domain protein 2
4z2m	H	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
4z2m	J	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
4z2m	G	Homo sapiens	NA	3677#46982	P68431	Histone H3.1
4z2m	I	Homo sapiens	NA	3677#46982	P68431	Histone H3.1
4z2m	B	Homo sapiens	NA	NA	Q9Y5B9	FACT complex subunit SPT16
4z4p	A	Homo sapiens	NA	42800	O14686	Histone-lysine N-methyltransferase 2D
4z5t	I	Homo sapiens	NA	NA	NA	NA
4z5t	J	Homo sapiens	NA	NA	NA	NA
4z5t	C	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
4z5t	G	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
4z5t	D	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
4z5t	H	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
4z5t	B	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
4z5t	F	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
4z5t	A	Homo sapiens	6334#30307	3677#5515#31492#46982	Q6NXT2	Histone H3.3C
4z5t	E	Homo sapiens	6334#30307	3677#5515#31492#46982	Q6NXT2	Histone H3.3C
4z66	I	Homo sapiens	NA	NA	NA	NA
4z66	J	Homo sapiens	NA	NA	NA	NA
4z66	D	Xenopus laevis	NA	3677#46982	P02281	Histone H2B 1.1
4z66	H	Xenopus laevis	NA	3677#46982	P02281	Histone H2B 1.1
4z66	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
4z66	G	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
4z66	B	Xenopus laevis	6352	3677#46982	P62799	Histone H4
4z66	F	Xenopus laevis	6352	3677#46982	P62799	Histone H4
4z66	A	Xenopus laevis	NA	3677#46982	P84233	Histone H3.2
4z66	E	Xenopus laevis	NA	3677#46982	P84233	Histone H3.2
4z6h	A	Homo sapiens	NA	NA	Q9H8M2	Bromodomain-containing protein 9
4z6h	B	Homo sapiens	NA	NA	Q9H8M2	Bromodomain-containing protein 9
4z6i	A	Homo sapiens	NA	NA	Q9H8M2	Bromodomain-containing protein 9
4z6i	B	Homo sapiens	NA	NA	Q9H8M2	Bromodomain-containing protein 9
4zbj	A	Saccharomyces cerevisiae	6333	NA	P32447	Histone chaperone ASF1
4zbj	C	Xenopus laevis	6352	3677#46982	P62799	Histone H4
4zbj	B	Xenopus laevis	NA	3677#46982	Q6PI79	Histone H3.3
4zbj	D	Homo sapiens	6325	NA	Q9NPG3	Ubinuclein-1
4zqa	A	Mus musculus	NA	NA	Q8BR65	Sin3 histone deacetylase corepressor complex component SDS3
4zql	A	Homo sapiens	NA	NA	O15164	Transcription intermediary factor 1-alpha
4zql	B	Homo sapiens	NA	NA	O15164	Transcription intermediary factor 1-alpha
4zux	W	Saccharomyces cerevisiae	6325#6351#6355#16578#45893	3713#8270#46872	A6ZWK1	SAGA-associated factor 11
4zux	b	Saccharomyces cerevisiae	NA	NA	A6ZWK1	SAGA-associated factor 11
4zux	g	Saccharomyces cerevisiae	NA	NA	A6ZWK1	SAGA-associated factor 11
4zux	l	Saccharomyces cerevisiae	NA	NA	A6ZWK1	SAGA-associated factor 11
4zux	J	synthetic construct	6351#6355#6508#8380#16578#34729#51568	4843#5515#8233#8234#16787#32947#36459#46872	NA	NA
4zux	I	synthetic construct	NA	NA	NA	NA
4zux	S	synthetic construct	NA	NA	NA	NA
4zux	T	synthetic construct	NA	NA	NA	NA
4zux	D	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
4zux	H	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
4zux	N	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
4zux	R	Xenopus laevis	NA	3677#5515#46982	P02281	Histone H2B 1.1
4zux	G	Xenopus laevis	6325#6351#6355#16578#45893	3677#3713#8270#46872#46982	P06897	Histone H2A type 1
4zux	C	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
4zux	M	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
4zux	Q	Xenopus laevis	NA	3677#46982	P06897	Histone H2A type 1
4zux	X	Homo sapiens	NA	NA	P0CG47	Polyubiquitin-B
4zux	c	Homo sapiens	NA	NA	P0CG47	Polyubiquitin-B
4zux	h	Homo sapiens	NA	NA	P0CG47	Polyubiquitin-B
4zux	m	Homo sapiens	NA	NA	P0CG47	Polyubiquitin-B
4zux	U	Saccharomyces cerevisiae	6351#6355#6508#6511#8380#16578#16579#34729#51568	4843#5515#8233#8234#8270#16787#32947#36459#46872	P50102	Ubiquitin carboxyl-terminal hydrolase 8
4zux	Z	Saccharomyces cerevisiae	6351#6355#6508#6511#8380#16578#16579#34729#51568	4843#5515#8233#8234#8270#16787#32947#36459#46872	P50102	Ubiquitin carboxyl-terminal hydrolase 8
4zux	e	Saccharomyces cerevisiae	NA	NA	P50102	Ubiquitin carboxyl-terminal hydrolase 8
4zux	j	Saccharomyces cerevisiae	NA	NA	P50102	Ubiquitin carboxyl-terminal hydrolase 8
4zux	Y	Saccharomyces cerevisiae	NA	NA	P53165	SAGA-associated factor 73
4zux	d	Saccharomyces cerevisiae	NA	NA	P53165	SAGA-associated factor 73
4zux	i	Saccharomyces cerevisiae	NA	NA	P53165	SAGA-associated factor 73
4zux	n	Saccharomyces cerevisiae	NA	NA	P53165	SAGA-associated factor 73
4zux	F	Xenopus laevis	973#6325#6334#6351#6352#6355#6368#6406#15031#16578#16973#32880#34729#43085#45893#45944#51028#51568#71033	3677#3682#3713#5515#8047#46982	P62799	Histone H4
4zux	B	Xenopus laevis	6325#6334#6351#6352#6355#16578#45893	3677#3713#5515#8270#46872#46982	P62799	Histone H4
4zux	L	Xenopus laevis	6325#6334#6351#6352#6355#16578#45893	3677#3713#5515#8270#46872#46982	P62799	Histone H4
4zux	P	Xenopus laevis	6334#6352	3677#5515#46982	P62799	Histone H4
4zux	A	Xenopus laevis	973#6325#6351#6355#6368#6406#15031#16578#16973#32880#34729#43085#45893#45944#51028#51568#71033	3677#3682#3713#5515#8047#46982	P84233	Histone H3.2
4zux	K	Xenopus laevis	973#6325#6351#6355#6368#6406#15031#16578#16973#32880#34729#43085#45893#45944#51028#51568#71033	3677#3682#3713#5515#8047#46982	P84233	Histone H3.2
4zux	E	Xenopus laevis	6351#6355#6508#6511#8380#16578#16579#34729#51568	3677#4843#5515#8233#8234#8270#16787#32947#36459#46872#46982	P84233	Histone H3.2
4zux	O	Xenopus laevis	NA	3677#5515#46982	P84233	Histone H3.2
4zux	V	Saccharomyces cerevisiae	973#6325#6351#6355#6368#6406#15031#16578#16973#32880#34729#43085#45893#45944#51028#51568#71033	3682#3713#5515#8047	Q6WNK7	Transcription and mRNA export factor SUS1
4zux	a	Saccharomyces cerevisiae	NA	NA	Q6WNK7	Transcription and mRNA export factor SUS1
4zux	f	Saccharomyces cerevisiae	NA	NA	Q6WNK7	Transcription and mRNA export factor SUS1
4zux	k	Saccharomyces cerevisiae	NA	NA	Q6WNK7	Transcription and mRNA export factor SUS1
5a1f	A	Homo sapiens	NA	NA	Q9UGL1	Lysine-specific demethylase 5B
5a1l	A	Homo sapiens	NA	NA	O14607	Histone demethylase UTY
5a1l	B	Homo sapiens	NA	NA	O14607	Histone demethylase UTY
5a2s	A	Homo sapiens	NA	4407	P56524	Histone deacetylase 4
5a2s	B	Homo sapiens	NA	4407	P56524	Histone deacetylase 4
5a3n	A	Homo sapiens	NA	NA	Q9UGL1	Lysine-specific demethylase 5B
5a3p	A	Homo sapiens	NA	NA	Q9UGL1	Lysine-specific demethylase 5B
5a3t	A	Homo sapiens	NA	NA	Q9UGL1	Lysine-specific demethylase 5B
5a3w	A	Homo sapiens	NA	NA	Q9UGL1	Lysine-specific demethylase 5B
5a5s	A	Homo sapiens	NA	NA	O60885	Bromodomain-containing protein 4
5a7n	A	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
5a7n	B	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
5a7o	A	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
5a7o	B	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
5a7p	A	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
5a7p	B	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
5a7q	A	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
5a7q	B	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
5a7s	A	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
5a7s	B	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
5a7w	A	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
5a7w	B	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
5a80	A	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
5a80	B	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
5a85	A	Homo sapiens	NA	NA	O60885	Bromodomain-containing protein 4
5acy	A	Homo sapiens	NA	NA	O60885	Bromodomain-containing protein 4
5acy	B	Homo sapiens	NA	NA	O60885	Bromodomain-containing protein 4
5afw	A	Homo sapiens	NA	NA	O14646	Chromodomain-helicase-DNA-binding protein 1
5afw	B	Homo sapiens	NA	NA	O60341	Lysine-specific histone demethylase 1A
5agc	A	Saccharomyces cerevisiae	6303#6334#15031#35066#43085#2000617	5515#10698#42393#42802	P53853	Vacuolar protein sorting-associated protein 75
5agc	B	Saccharomyces cerevisiae	6303#6334#15031#35066#43085#2000617	5515#10698#42393#42802	P53853	Vacuolar protein sorting-associated protein 75
5agc	C	Saccharomyces cerevisiae	6303#6334#15031#35066#43085#2000617	5515#10698#42393#42802	P53853	Vacuolar protein sorting-associated protein 75
5agc	D	Saccharomyces cerevisiae	6303#6334#15031#35066#43085#2000617	5515#10698#42393#42802	P53853	Vacuolar protein sorting-associated protein 75
5ame	A	Homo sapiens	NA	NA	O95696	Bromodomain-containing protein 1
5ame	B	Homo sapiens	NA	NA	O95696	Bromodomain-containing protein 1
5amf	A	Homo sapiens	NA	NA	O95696	Bromodomain-containing protein 1
5amf	B	Homo sapiens	NA	NA	O95696	Bromodomain-containing protein 1
5anq	A	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
5anq	B	Homo sapiens	NA	NA	O75164	Lysine-specific demethylase 4A
5arg	A	Homo sapiens	122#6325#6351#6355#7507#8285#10452#16571#18026#18027#32259#34968#43516#1901796	993#2039#5515#8168#16278#16279#16740#18024#46872#46975	Q9NRG4	N-lysine methyltransferase SMYD2
5av5	I	Homo sapiens	NA	NA	NA	NA
5av5	J	Homo sapiens	NA	NA	NA	NA
5av5	C	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5av5	G	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5av5	D	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5av5	H	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5av5	B	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5av5	F	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5av5	A	Homo sapiens	183#6325#6334#6335#7596#32200#38111#44267#45652#45814#51290#60964#60968	3677#5515#31492#45296#46982	P68431	Histone H3.1
5av5	E	Homo sapiens	183#6325#6334#6335#7596#32200#38111#44267#45652#45814#51290#60964#60968	3677#5515#31492#45296#46982	P68431	Histone H3.1
5av6	I	Homo sapiens	NA	NA	NA	NA
5av6	J	Homo sapiens	NA	NA	NA	NA
5av6	C	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5av6	G	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5av6	D	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5av6	H	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5av6	B	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5av6	F	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5av6	A	Homo sapiens	183#6325#6334#6335#7596#32200#38111#44267#45652#45814#51290#60964#60968	3677#5515#31492#45296#46982	P68431	Histone H3.1
5av6	E	Homo sapiens	183#6325#6334#6335#7596#32200#38111#44267#45652#45814#51290#60964#60968	3677#5515#31492#45296#46982	P68431	Histone H3.1
5av8	I	Homo sapiens	NA	NA	NA	NA
5av8	J	Homo sapiens	NA	NA	NA	NA
5av8	C	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5av8	G	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5av8	D	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5av8	H	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5av8	B	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5av8	F	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5av8	A	Homo sapiens	183#6325#6334#6335#7596#32200#38111#44267#45652#45814#51290#60964#60968	3677#5515#31492#45296#46982	P68431	Histone H3.1
5av8	E	Homo sapiens	183#6325#6334#6335#7596#32200#38111#44267#45652#45814#51290#60964#60968	3677#5515#31492#45296#46982	P68431	Histone H3.1
5av9	I	Homo sapiens	NA	NA	NA	NA
5av9	J	Homo sapiens	NA	NA	NA	NA
5av9	C	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5av9	G	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5av9	D	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5av9	H	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5av9	B	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5av9	F	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5av9	A	Homo sapiens	183#6325#6334#6335#7596#32200#38111#44267#45652#45814#51290#60964#60968	3677#5515#31492#45296#46982	P68431	Histone H3.1
5av9	E	Homo sapiens	183#6325#6334#6335#7596#32200#38111#44267#45652#45814#51290#60964#60968	3677#5515#31492#45296#46982	P68431	Histone H3.1
5avb	I	Homo sapiens	NA	NA	NA	NA
5avb	J	Homo sapiens	NA	NA	NA	NA
5avb	C	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5avb	G	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5avb	D	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5avb	H	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5avb	B	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5avb	F	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5avb	A	Homo sapiens	183#6325#6334#6335#7596#32200#38111#44267#45652#45814#51290#60964#60968	3677#5515#31492#45296#46982	P68431	Histone H3.1
5avb	E	Homo sapiens	183#6325#6334#6335#7596#32200#38111#44267#45652#45814#51290#60964#60968	3677#5515#31492#45296#46982	P68431	Histone H3.1
5avc	I	Homo sapiens	NA	NA	NA	NA
5avc	J	Homo sapiens	NA	NA	NA	NA
5avc	C	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5avc	G	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5avc	D	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5avc	H	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5avc	B	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5avc	F	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5avc	A	Homo sapiens	183#6325#6334#6335#7596#32200#38111#44267#45652#45814#51290#60964#60968	3677#5515#31492#45296#46982	P68431	Histone H3.1
5avc	E	Homo sapiens	183#6325#6334#6335#7596#32200#38111#44267#45652#45814#51290#60964#60968	3677#5515#31492#45296#46982	P68431	Histone H3.1
5ay8	I	Homo sapiens	NA	NA	NA	NA
5ay8	J	Homo sapiens	NA	NA	NA	NA
5ay8	C	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5ay8	G	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5ay8	D	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5ay8	H	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5ay8	B	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5ay8	F	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5ay8	A	Homo sapiens	183#6334#6336#7596#30307#32200#44267#45652#45814#60964	979#980#3677#5515#31492#46982	P84243	Histone H3.3
5ay8	E	Homo sapiens	183#6334#6336#7596#30307#32200#44267#45652#45814#60964	979#980#3677#5515#31492#46982	P84243	Histone H3.3
5ayf	A	Homo sapiens	6355#34968	18024	Q8WTS6	Histone-lysine N-methyltransferase SETD7
5b0y	I	Homo sapiens	NA	NA	NA	NA
5b0y	J	Homo sapiens	NA	NA	NA	NA
5b0y	C	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5b0y	G	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5b0y	D	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5b0y	H	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5b0y	B	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5b0y	F	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5b0y	A	Homo sapiens	122#183#6325#6334#7596#38111#44267#45652#45814#60964	3677#3682#5515#31492#46982	Q71DI3	Histone H3.2
5b0y	E	Homo sapiens	122#183#6325#6334#7596#38111#44267#45652#45814#60964	3677#3682#5515#31492#46982	Q71DI3	Histone H3.2
5b0z	I	Homo sapiens	NA	NA	NA	NA
5b0z	J	Homo sapiens	NA	NA	NA	NA
5b0z	C	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5b0z	G	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5b0z	D	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5b0z	H	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5b0z	B	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5b0z	F	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5b0z	A	Homo sapiens	122#183#6325#6334#7596#38111#44267#45652#45814#60964	3677#3682#5515#31492#46982	Q71DI3	Histone H3.2
5b0z	E	Homo sapiens	122#183#6325#6334#7596#38111#44267#45652#45814#60964	3677#3682#5515#31492#46982	Q71DI3	Histone H3.2
5b1l	C	Mus musculus	8285	3677#19899#46982	C0HKE8	Histone H2A type 1-O
5b1l	G	Mus musculus	8285	3677#19899#46982	C0HKE8	Histone H2A type 1-O
5b1l	I	Homo sapiens	NA	NA	NA	NA
5b1l	J	Homo sapiens	NA	NA	NA	NA
5b1l	B	Mus musculus	6334#6335#6336#6352#45653#51290	3677#5515#19904#42393#46982	P62806	Histone H4
5b1l	F	Mus musculus	6334#6335#6336#6352#45653#51290	3677#5515#19904#42393#46982	P62806	Histone H4
5b1l	A	Mus musculus	6334#6335#51290#60968	3677#5515#31492#46982	P68433	Histone H3.1
5b1l	E	Mus musculus	6334#6335#51290#60968	3677#5515#31492#46982	P68433	Histone H3.1
5b1l	D	Mus musculus	6334	3677#46982	Q9D2U9	Histone H2B type 3-A
5b1l	H	Mus musculus	6334	3677#46982	Q9D2U9	Histone H2B type 3-A
5b1m	C	Mus musculus	8285	3677#19899#46982	C0HKE8	Histone H2A type 1-O
5b1m	G	Mus musculus	8285	3677#19899#46982	C0HKE8	Histone H2A type 1-O
5b1m	I	Homo sapiens	NA	NA	NA	NA
5b1m	J	Homo sapiens	NA	NA	NA	NA
5b1m	B	Mus musculus	6334#6335#6336#6352#45653#51290	3677#5515#19904#42393#46982	P62806	Histone H4
5b1m	F	Mus musculus	6334#6335#6336#6352#45653#51290	3677#5515#19904#42393#46982	P62806	Histone H4
5b1m	A	Mus musculus	6334#6335#51290#60968	3677#5515#31492#46982	P68433	Histone H3.1
5b1m	E	Mus musculus	6334#6335#51290#60968	3677#5515#31492#46982	P68433	Histone H3.1
5b1m	D	Mus musculus	6334	3677#46982	Q9D2U9	Histone H2B type 3-A
5b1m	H	Mus musculus	6334	3677#46982	Q9D2U9	Histone H2B type 3-A
5b24	I	Homo sapiens	NA	NA	NA	NA
5b24	J	Homo sapiens	NA	NA	NA	NA
5b24	C	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5b24	G	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5b24	D	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5b24	H	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5b24	B	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5b24	F	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5b24	A	Homo sapiens	183#6325#6334#6335#7596#32200#38111#44267#45652#45814#51290#60964#60968	3677#5515#31492#45296#46982	P68431	Histone H3.1
5b24	E	Homo sapiens	183#6325#6334#6335#7596#32200#38111#44267#45652#45814#51290#60964#60968	3677#5515#31492#45296#46982	P68431	Histone H3.1
5b2i	I	Homo sapiens	NA	NA	NA	NA
5b2i	J	Homo sapiens	NA	NA	NA	NA
5b2i	C	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5b2i	G	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5b2i	D	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5b2i	H	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5b2i	B	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5b2i	F	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5b2i	A	Homo sapiens	183#6325#6334#6335#7596#32200#38111#44267#45652#45814#51290#60964#60968	3677#5515#31492#45296#46982	P68431	Histone H3.1
5b2i	E	Homo sapiens	183#6325#6334#6335#7596#32200#38111#44267#45652#45814#51290#60964#60968	3677#5515#31492#45296#46982	P68431	Histone H3.1
5b2j	I	Homo sapiens	NA	NA	NA	NA
5b2j	J	Homo sapiens	NA	NA	NA	NA
5b2j	C	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5b2j	G	Homo sapiens	6342#8285	3677#5515#46982	P04908	Histone H2A type 1-B/E
5b2j	D	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5b2j	H	Homo sapiens	2227#6334#10804#16567#19731#31640#42742#50829#50830#61844	1530#3677#5515#46982	P06899	Histone H2B type 1-J
5b2j	B	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
5b2j	F	Homo sapiens	183#6303#6334#6335#6336#6352#16233#32200#34080#44267#45652#45653#45814#51290#60964	3677#3723#5515#19904#42393#46982	P62805	Histone H4
